Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
tr|A0A0D9SFB1|A0A0D9SFB1_HUMAN;tr|H7C5U0|H7C5U0_HUMAN	tr|A0A0D9SFB1|A0A0D9SFB1_HUMAN	47;3	47;3	2;2	tr|A0A0D9SFB1|A0A0D9SFB1_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1	2	47	47	2	63.4	63.4	1.9	94.016	835	835;131	0	323.31	9715100000	64				1537	276;435;436;520;601;1083;1165;1256;1507;1646;1765;1933;2183;2281;2312;2467;2552;2815;3314;3404;3440;3602;3758;4266;4658;4708;4906;5029;5098;5435;5638;5641;6102;6203;6204;6457;6458;6503;6504;6517;6724;7248;7249;7339;7558;7559;7788	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	276;435;436;522;603;1089;1171;1262;1515;1655;1774;1943;2194;2292;2324;2479;2564;2827;3332;3423;3459;3621;3778;4287;4684;4735;4942;5065;5134;5477;5680;5683;6147;6248;6249;6503;6504;6551;6552;6565;6775;7303;7304;7394;7614;7615;7616;7845	314;487;488;489;588;589;590;685;1256;1356;1459;1750;1904;2030;2223;2224;2507;2620;2657;2846;2944;3258;3851;3962;4015;4202;4389;5000;5463;5516;5767;5913;6013;6014;6425;6426;6658;6677;7215;7334;7335;7633;7634;7690;7691;7692;7706;7947;8595;8596;8698;8699;8949;8950;8951;9214	382;580;581;582;706;707;708;822;1514;1635;1754;1755;2087;2088;2275;2428;2659;2660;2994;2995;3136;3137;3177;3178;3179;3404;3521;3894;4617;4757;4824;5030;5260;5990;6560;6621;6928;6929;7108;7231;7232;7233;7723;7724;7725;8006;8028;8682;8827;8828;9186;9187;9188;9253;9254;9255;9270;9574;10369;10370;10502;10503;10808;10809;10810;10811;11135	382;580;581;708;822;1514;1635;1754;2087;2275;2428;2659;2994;3137;3179;3404;3521;3894;4617;4757;4824;5030;5260;5990;6560;6621;6928;7108;7231;7724;8006;8028;8682;8827;8828;9186;9188;9253;9255;9270;9574;10369;10370;10502;10809;10810;11135	31	140	-1;-1
tr|A0A0D9SFM4|A0A0D9SFM4_HUMAN;tr|A0A0D9SGH0|A0A0D9SGH0_HUMAN	tr|A0A0D9SFM4|A0A0D9SFM4_HUMAN;tr|A0A0D9SGH0|A0A0D9SGH0_HUMAN	1;1	1;1	1;1	tr|A0A0D9SFM4|A0A0D9SFM4_HUMAN Sodium/hydrogen exchanger 6 (Fragment) OS=Homo sapiens OX=9606 GN=SLC9A6 PE=1 SV=1;tr|A0A0D9SGH0|A0A0D9SGH0_HUMAN Sodium/hydrogen exchanger OS=Homo sapiens OX=9606 GN=SLC9A6 PE=1 SV=5	2	1	1	1	9.8	9.8	9.8	20.955	184	184;679	0	15.649	0	1				1538	2069	True	2079	2376	2839	2839			-1;-1
tr|A0A0D9SGF6|A0A0D9SGF6_HUMAN;tr|A0A0D9SF54|A0A0D9SF54_HUMAN;sp|Q13813|SPTN1_HUMAN;tr|A0A0D9SFH4|A0A0D9SFH4_HUMAN;tr|A0A0D9SFF6|A0A0D9SFF6_HUMAN;tr|A0A1B0GTB7|A0A1B0GTB7_HUMAN;tr|A0A1B0GV13|A0A1B0GV13_HUMAN;tr|A0A1B0GW19|A0A1B0GW19_HUMAN;tr|A0A1B0GWE2|A0A1B0GWE2_HUMAN	tr|A0A0D9SGF6|A0A0D9SGF6_HUMAN;tr|A0A0D9SF54|A0A0D9SF54_HUMAN;sp|Q13813|SPTN1_HUMAN	102;101;100;3;3;2;2;1;1	102;101;100;3;3;2;2;1;1	102;101;100;3;3;2;2;1;1	tr|A0A0D9SGF6|A0A0D9SGF6_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=1;tr|A0A0D9SF54|A0A0D9SF54_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=1;sp|Q13813|SPTN1_HUMAN Sp	9	102	102	102	45.5	45.5	45.5	287.6	2498	2498;2457;2472;68;153;22;103;11;12	0	323.31	11296000000	139				1539	155;156;157;263;331;367;461;462;551;589;843;874;1020;1023;1038;1039;1050;1063;1064;1066;1072;1180;1181;1184;1236;1237;1244;1259;1292;1405;1406;1466;1515;1531;1542;1609;1795;2200;2201;2273;2291;2292;2343;2350;2424;2485;2503;2639;2640;2642;2648;2777;2803;3417;3443;3446;3448;3454;3459;3483;3484;3608;3634;3746;3764;3795;3832;3874;3881;3984;3987;4003;4194;4195;4322;4331;4636;4796;4816;4866;4867;5141;5207;5339;5341;5350;5366;5651;5693;5694;5697;5958;5997;6017;6165;6182;6374;7209;7296;7664;7665;7836	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	155;156;157;263;331;367;462;463;553;591;845;877;1024;1027;1042;1043;1054;1067;1068;1070;1078;1186;1187;1190;1242;1243;1250;1265;1299;1412;1413;1473;1523;1539;1550;1617;1804;2211;2212;2284;2303;2304;2355;2362;2436;2497;2515;2651;2652;2654;2660;2789;2815;3436;3462;3465;3467;3473;3478;3502;3503;3627;3653;3766;3784;3815;3852;3894;3901;4005;4008;4024;4215;4216;4343;4352;4660;4825;4846;4900;4901;4902;5179;5247;5380;5382;5391;5407;5693;5735;5736;5739;6000;6040;6061;6210;6227;6419;7264;7351;7721;7722;7893	179;180;181;182;183;300;377;415;416;517;518;519;625;672;971;1007;1181;1185;1203;1204;1215;1229;1230;1232;1242;1374;1375;1378;1433;1434;1446;1462;1506;1634;1635;1636;1706;1759;1775;1787;1859;2060;2061;2524;2525;2612;2633;2634;2693;2700;2701;2794;2869;2890;3052;3053;3054;3055;3057;3058;3067;3217;3246;3981;4019;4022;4023;4025;4034;4035;4041;4068;4069;4208;4238;4373;4396;4431;4471;4531;4538;4673;4676;4699;4922;4923;4924;5062;5071;5437;5613;5638;5706;5707;5708;6067;6068;6141;6306;6307;6309;6321;6342;6343;6688;6739;6740;6743;6744;7050;7092;7118;7289;7311;7536;8544;8646;9075;9076;9272;9273	223;224;225;226;227;228;229;366;457;497;498;499;500;615;616;617;754;808;1170;1211;1422;1426;1446;1447;1461;1477;1478;1479;1482;1499;1658;1659;1662;1725;1726;1740;1758;1810;1953;1954;1955;1956;2036;2098;2099;2100;2101;2118;2134;2223;2461;2462;2463;3015;3016;3017;3125;3151;3152;3224;3231;3232;3233;3340;3430;3431;3432;3458;3650;3651;3652;3653;3656;3657;3658;3667;3844;3880;4778;4828;4832;4833;4834;4836;4845;4846;4852;4886;4887;5037;5073;5243;5269;5311;5354;5424;5431;5605;5606;5610;5634;5894;5895;5896;5897;6076;6086;6533;6735;6761;6846;6847;6848;7293;7294;7295;7384;7385;7585;7586;7588;7600;7624;7625;8039;8098;8099;8102;8103;8488;8539;8540;8568;8771;8799;8800;8801;9066;10307;10437;10966;10967;11203;11204;11205;11206	223;226;229;366;457;499;615;617;754;808;1170;1211;1422;1426;1446;1447;1461;1477;1479;1482;1499;1658;1659;1662;1725;1726;1740;1758;1810;1953;1955;2036;2099;2118;2134;2223;2461;3015;3017;3125;3151;3152;3224;3232;3340;3431;3458;3651;3653;3658;3667;3844;3880;4778;4828;4833;4836;4846;4852;4886;4887;5037;5073;5243;5269;5311;5354;5424;5431;5606;5610;5634;5895;5897;6076;6086;6533;6735;6761;6847;6848;7295;7385;7585;7588;7600;7624;8039;8098;8099;8102;8488;8539;8568;8771;8800;9066;10307;10437;10966;10967;11206	37	1895	-1;-1;-1;-1;-1;-1;-1;-1;-1
tr|A0A0J9YVW3|A0A0J9YVW3_HUMAN;tr|A0A0J9YYF0|A0A0J9YYF0_HUMAN;tr|A0A0J9YYF3|A0A0J9YYF3_HUMAN;tr|A0A0J9YXU7|A0A0J9YXU7_HUMAN	tr|A0A0J9YVW3|A0A0J9YVW3_HUMAN;tr|A0A0J9YYF0|A0A0J9YYF0_HUMAN;tr|A0A0J9YYF3|A0A0J9YYF3_HUMAN;tr|A0A0J9YXU7|A0A0J9YXU7_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	tr|A0A0J9YVW3|A0A0J9YVW3_HUMAN Serum paraoxonase/arylesterase 2 (Fragment) OS=Homo sapiens OX=9606 GN=PON2 PE=1 SV=1;tr|A0A0J9YYF0|A0A0J9YYF0_HUMAN Serum paraoxonase/arylesterase 2 (Fragment) OS=Homo sapiens OX=9606 GN=PON2 PE=1 SV=1;tr|A0A0J9YYF3|A0A0J9YY	4	1	1	1	25	25	25	3.7032	32	32;53;69;113	0.0065789	6.0303	114990000	1				1540	4782	True	4811	5599	6719	6719			-1;-1;-1;-1
tr|A0A0U1RQI6|A0A0U1RQI6_HUMAN;tr|E7ERI8|E7ERI8_HUMAN;tr|E7EW49|E7EW49_HUMAN;tr|E3W994|E3W994_HUMAN;tr|J3KR49|J3KR49_HUMAN;sp|O75122|CLAP2_HUMAN;tr|H7C4I5|H7C4I5_HUMAN;tr|B3KR06|B3KR06_HUMAN;tr|E7ENG2|E7ENG2_HUMAN;tr|H0Y5T1|H0Y5T1_HUMAN;tr|F8WA11|F8WA11_HUMAN;sp|Q7Z460|CLAP1_HUMAN;tr|H7C4M5|H7C4M5_HUMAN;tr|H7C4X8|H7C4X8_HUMAN;tr|H7C5M8|H7C5M8_HUMAN	tr|A0A0U1RQI6|A0A0U1RQI6_HUMAN;tr|E7ERI8|E7ERI8_HUMAN;tr|E7EW49|E7EW49_HUMAN;tr|E3W994|E3W994_HUMAN;tr|J3KR49|J3KR49_HUMAN;sp|O75122|CLAP2_HUMAN	10;10;10;9;9;9;2;2;2;2;2;2;1;1;1	10;10;10;9;9;9;2;2;2;2;2;2;1;1;1	10;10;10;9;9;9;2;2;2;2;2;2;1;1;1	tr|A0A0U1RQI6|A0A0U1RQI6_HUMAN CLIP-associating protein 2 OS=Homo sapiens OX=9606 GN=CLASP2 PE=1 SV=1;tr|E7ERI8|E7ERI8_HUMAN CLIP-associating protein 2 OS=Homo sapiens OX=9606 GN=CLASP2 PE=1 SV=1;tr|E7EW49|E7EW49_HUMAN CLIP-associating protein 2 OS=Homo sa	15	10	10	10	10.9	10.9	10.9	142.33	1304	1304;1513;1514;1273;1293;1294;205;454;458;1275;1478;1538;178;184;220	0	85.52	129090000	14				1541	1210;1943;2442;6175;6200;6432;6569;7187;7251;7274	True;True;True;True;True;True;True;True;True;True	1216;1953;2454;6220;6245;6478;6617;7242;7306;7329	1405;2235;2236;2815;7302;7331;7603;7763;8518;8519;8598;8622	1690;1691;2671;2672;3368;3369;8787;8823;9146;9336;10275;10276;10374;10404	1690;2671;3369;8787;8823;9146;9336;10275;10374;10404			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
tr|A0A0U1RQU3|A0A0U1RQU3_HUMAN	tr|A0A0U1RQU3|A0A0U1RQU3_HUMAN	5	1	1	tr|A0A0U1RQU3|A0A0U1RQU3_HUMAN Plasma membrane calcium-transporting ATPase 1 (Fragment) OS=Homo sapiens OX=9606 GN=ATP2B1 PE=1 SV=1	1	5	1	1	35	7.3	7.3	33.644	300	300	0.00084388	10.666	34725000	3				1542	1243;2805;3162;5767;6183	False;False;True;False;False	1249;2817;3180;5809;6228	1443;1444;1445;3248;3674;6824;7312	1736;1737;1738;1739;3882;4402;4403;4404;8193;8802	1736;3882;4403;8193;8802			-1
tr|A0A0U1RR22|A0A0U1RR22_HUMAN;sp|Q9UNF0|PACN2_HUMAN;tr|B0QYG7|B0QYG7_HUMAN;tr|B0QYG8|B0QYG8_HUMAN	tr|A0A0U1RR22|A0A0U1RR22_HUMAN;sp|Q9UNF0|PACN2_HUMAN;tr|B0QYG7|B0QYG7_HUMAN;tr|B0QYG8|B0QYG8_HUMAN	8;7;4;4	6;5;2;2	6;5;2;2	tr|A0A0U1RR22|A0A0U1RR22_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=PACSIN2 PE=1 SV=1;sp|Q9UNF0|PACN2_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens	4	8	6	6	20.4	18.6	18.6	51.828	451	451;486;152;155	0	37.129	105860000	6				1543	19;507;771;1226;1227;1260;1664;5470	True;True;True;False;False;True;True;True	19;509;773;1232;1233;1266;1673;5512	19;573;880;1422;1423;1463;1922;6465	24;684;1067;1712;1713;1759;2297;2298;7772	24;684;1067;1712;1713;1759;2297;7772			-1;-1;-1;-1
tr|A0A1C7CYX9|A0A1C7CYX9_HUMAN;sp|Q16555|DPYL2_HUMAN;tr|E5RFU4|E5RFU4_HUMAN	tr|A0A1C7CYX9|A0A1C7CYX9_HUMAN;sp|Q16555|DPYL2_HUMAN	26;24;3	26;24;3	22;20;2	tr|A0A1C7CYX9|A0A1C7CYX9_HUMAN Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1;sp|Q16555|DPYL2_HUMAN Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1	3	26	26	22	48	48	41.5	73.502	677	677;572;170	0	294.65	6030700000	49				1544	25;43;44;720;994;1091;1727;1901;2277;2373;2409;2996;3271;3296;3300;3435;3476;3545;3546;4624;4856;4857;4881;5052;5053;7038	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	25;43;44;722;998;1097;1736;1911;2288;2385;2421;3008;3289;3314;3318;3454;3495;3564;3565;4647;4890;4891;4916;5088;5089;7092	25;48;49;820;821;1148;1149;1150;1151;1152;1153;1265;1989;2178;2616;2732;2771;2772;3452;3798;3830;3831;3832;3836;4006;4060;4140;4141;5424;5695;5696;5730;5731;5960;5961;5962;5963;8336	31;60;61;62;63;64;985;986;1386;1387;1388;1389;1390;1391;1524;2379;2603;2604;2605;2606;3131;3268;3310;3311;3312;4131;4132;4133;4560;4594;4595;4596;4600;4812;4876;4963;4964;6518;6519;6833;6834;6881;6882;6883;7167;7168;7169;7170;7171;7172;10057;10058	31;60;63;986;1386;1524;2379;2605;3131;3268;3312;4131;4560;4594;4600;4812;4876;4963;4964;6518;6833;6834;6882;7168;7171;10058			-1;-1;-1
tr|A0A2Q3DQE3|A0A2Q3DQE3_HUMAN;sp|Q13555|KCC2G_HUMAN;tr|Q8WU40|Q8WU40_HUMAN;tr|H0Y6G2|H0Y6G2_HUMAN	tr|A0A2Q3DQE3|A0A2Q3DQE3_HUMAN;sp|Q13555|KCC2G_HUMAN;tr|Q8WU40|Q8WU40_HUMAN;tr|H0Y6G2|H0Y6G2_HUMAN	11;10;9;8	5;4;4;5	2;1;1;2	tr|A0A2Q3DQE3|A0A2Q3DQE3_HUMAN Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma, isoform CRA_d OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=1;sp|Q13555|KCC2G_HUMAN Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Homo sapi	4	11	5	2	26.4	17.3	9.5	62.164	556	556;558;453;335	0	32.443	193890000	5				1545	1042;1984;2010;2380;3221;3236;4100;5061;5062;5173;6250	False;True;False;True;True;True;False;False;False;True;False	1046;1994;2020;2392;3239;3254;4121;5097;5098;5213;6295	1207;2280;2308;2740;3743;3760;4817;4818;5972;5973;6105;7388	1451;1452;2731;2763;3276;4497;4515;5773;5774;5775;7181;7182;7183;7344;8888	1452;2731;2763;3276;4497;4515;5774;7181;7182;7344;8888			-1;-1;-1;-1
tr|H0YKJ4|H0YKJ4_HUMAN;tr|H0YK48|H0YK48_HUMAN;tr|A0A494BZZ2|A0A494BZZ2_HUMAN;tr|F5H7S3|F5H7S3_HUMAN;tr|H7BYY1|H7BYY1_HUMAN;tr|B7Z596|B7Z596_HUMAN;tr|H0YNC7|H0YNC7_HUMAN;tr|A0A0S2Z4G6|A0A0S2Z4G6_HUMAN;sp|P09493|TPM1_HUMAN;tr|Q6ZN40|Q6ZN40_HUMAN;tr|H0YKX5|H0YKX5_HUMAN;tr|H0YL80|H0YL80_HUMAN;tr|A0A494C0V8|A0A494C0V8_HUMAN;tr|H0YN06|H0YN06_HUMAN;tr|H0YL42|H0YL42_HUMAN	tr|H0YKJ4|H0YKJ4_HUMAN;tr|H0YK48|H0YK48_HUMAN;tr|A0A494BZZ2|A0A494BZZ2_HUMAN;tr|F5H7S3|F5H7S3_HUMAN;tr|H7BYY1|H7BYY1_HUMAN;tr|B7Z596|B7Z596_HUMAN;tr|H0YNC7|H0YNC7_HUMAN;tr|A0A0S2Z4G6|A0A0S2Z4G6_HUMAN;sp|P09493|TPM1_HUMAN;tr|Q6ZN40|Q6ZN40_HUMAN;tr|H0YKX5|H0YKX5_HUMAN	16;16;16;14;14;14;11;11;11;11;9;7;5;3;3	10;10;10;8;8;8;5;5;5;5;3;1;5;3;3	9;9;9;8;8;8;4;4;4;4;3;1;4;3;3	tr|H0YKJ4|H0YKJ4_HUMAN Tropomyosin 1 (Alpha), isoform CRA_b OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2;tr|H0YK48|H0YK48_HUMAN Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=1;tr|A0A494BZZ2|A0A494BZZ2_HUMAN Tropomyosin alpha-1 chain OS=Hom	15	16	10	9	56.5	42.7	39.5	28.597	248	248;248;251;245;248;275;223;284;284;326;142;68;155;49;108	0	80.116	759000000	10				1546	260;261;549;791;1604;1605;2547;3154;3155;3519;3712;3713;3788;5647;5978;6016	True;True;True;True;True;True;True;False;False;True;False;False;False;False;True;True	260;261;551;793;1612;1613;2559;3172;3173;3538;3731;3732;3808;5689;6020;6060	297;298;622;623;913;1854;1855;2937;3666;3667;4109;4327;4328;4329;4330;4421;6684;7070;7117	363;364;751;752;1108;2217;2218;3513;4390;4391;4392;4393;4929;5186;5187;5188;5189;5298;8035;8515;8567	363;364;752;1108;2217;2218;3513;4391;4393;4929;5186;5187;5298;8035;8515;8567			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
tr|F8VYC1|F8VYC1_HUMAN;tr|B7Z2T4|B7Z2T4_HUMAN;tr|E9PN83|E9PN83_HUMAN;tr|A0A3B3ITF1|A0A3B3ITF1_HUMAN;tr|A0A3B3ISW2|A0A3B3ISW2_HUMAN;sp|Q15700|DLG2_HUMAN;tr|E9PIW2|E9PIW2_HUMAN;tr|B5MCC5|B5MCC5_HUMAN;tr|H7C325|H7C325_HUMAN;tr|Q6ZSU2|Q6ZSU2_HUMAN;tr|F8W750|F8W750_HUMAN;tr|A8MUT9|A8MUT9_HUMAN;tr|C9JFF9|C9JFF9_HUMAN;tr|E9PPV7|E9PPV7_HUMAN;tr|A8MVA8|A8MVA8_HUMAN;tr|E9PRL2|E9PRL2_HUMAN;tr|E9PQT9|E9PQT9_HUMAN	tr|F8VYC1|F8VYC1_HUMAN;tr|B7Z2T4|B7Z2T4_HUMAN;tr|E9PN83|E9PN83_HUMAN;tr|A0A3B3ITF1|A0A3B3ITF1_HUMAN;tr|A0A3B3ISW2|A0A3B3ISW2_HUMAN;sp|Q15700|DLG2_HUMAN;tr|E9PIW2|E9PIW2_HUMAN;tr|B5MCC5|B5MCC5_HUMAN	17;17;16;15;15;15;14;10;6;5;5;4;2;2;2;1;1	10;10;9;8;8;8;7;5;1;3;2;2;2;2;2;1;1	10;10;9;8;8;8;7;5;1;3;2;2;2;2;2;1;1	tr|F8VYC1|F8VYC1_HUMAN Disks large homolog 2 (Fragment) OS=Homo sapiens OX=9606 GN=DLG2 PE=1 SV=1;tr|B7Z2T4|B7Z2T4_HUMAN Disks large homolog 2 OS=Homo sapiens OX=9606 GN=DLG2 PE=1 SV=1;tr|E9PN83|E9PN83_HUMAN Disks large homolog 2 OS=Homo sapiens OX=9606 GN	17	17	10	10	34.3	23.2	23.2	88.455	797	797;852;866;1012;890;870;811;348;165;552;221;232;108;142;129;109;93	0	81.976	196370000	10				1547	701;1547;1548;1785;1803;1881;2056;2207;2234;2306;3080;3081;4511;5344;6605;7298;7701	False;False;True;False;True;True;True;False;False;True;False;False;True;True;True;True;True	703;1555;1556;1794;1812;1891;2066;2218;2245;2318;3097;3098;4533;5385;6654;7353;7758	799;1792;1793;2050;2070;2154;2362;2531;2532;2562;2650;3581;3582;3583;5284;6312;7802;8648;9115	961;2141;2142;2451;2474;2570;2824;3025;3026;3067;3168;4287;4288;4289;6338;7591;9384;9385;10439;11017	961;2141;2142;2451;2474;2570;2824;3025;3067;3168;4287;4289;6338;7591;9384;10439;11017			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
tr|B7Z613|B7Z613_HUMAN	tr|B7Z613|B7Z613_HUMAN	3	3	2	tr|B7Z613|B7Z613_HUMAN Neuronal membrane glycoprotein M6-b OS=Homo sapiens OX=9606 GN=GPM6B PE=1 SV=1	1	3	3	2	11.3	11.3	7	33.272	302	302	0	20.837	909190000	4				1548	356;4813;5591	True;True;True	356;4843;5633	403;5635;6602	485;6758;7943;7944	485;6758;7943			-1
tr|B7Z9X4|B7Z9X4_HUMAN	tr|B7Z9X4|B7Z9X4_HUMAN	4	4	0	tr|B7Z9X4|B7Z9X4_HUMAN cDNA, FLJ78988, highly similar to Protein NDRG4 OS=Homo sapiens OX=9606 GN=NDRG4 PE=1 SV=1	1	4	4	0	27.5	27.5	0	30.762	284	284	0	27.053	203300000	6				1549	1028;4365;4594;7687	True;True;True;True	1032;4387;4616;7744	1192;5112;5392;9101	1433;6137;6138;6139;6479;10999	1433;6139;6479;10999			-1
tr|D6R9U4|D6R9U4_HUMAN	tr|D6R9U4|D6R9U4_HUMAN	7	2	2	tr|D6R9U4|D6R9U4_HUMAN Ankyrin-2 (Fragment) OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=1	1	7	2	2	58.2	5.1	5.1	19.301	177	177	0	12.075	133480000	3				1550	246;278;279;1318;1330;2116;3428	False;True;True;False;False;False;False	246;278;279;1325;1337;2127;3447	282;316;317;318;1535;1549;2430;3993	346;384;385;386;1842;1858;1859;2904;2905;4795	346;385;386;1842;1859;2905;4795			-1
tr|D6RAX3|D6RAX3_HUMAN	tr|D6RAX3|D6RAX3_HUMAN	4	2	2	tr|D6RAX3|D6RAX3_HUMAN Protocadherin-1 OS=Homo sapiens OX=9606 GN=PCDH1 PE=1 SV=1	1	4	2	2	19.9	12.3	12.3	41.443	382	382	0	15.62	44699000	5				1551	3905;6445;7431;7471	True;False;True;False	3925;6491;7487;7527	4579;7619;8804;8847	5489;5490;5491;9168;10630;10631;10683;10684	5491;9168;10630;10683			-1
tr|E5RFP6|E5RFP6_HUMAN	tr|E5RFP6|E5RFP6_HUMAN	7	1	1	tr|E5RFP6|E5RFP6_HUMAN Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1	1	7	1	1	58.2	14.9	14.9	14.672	134	134	0.00080645	7.9193	13681000	1				1552	844;4446;4447;5777;6957;7612;7613	False;False;False;True;False;False;False	846;4468;4469;5819;7011;7669;7670	972;5203;5204;5205;6835;8240;9009;9010	1171;6237;6238;6239;8206;9934;10879;10880;10881	1171;6237;6239;8206;9934;10880;10881			-1
tr|E9PBG7|E9PBG7_HUMAN;tr|E9PF82|E9PF82_HUMAN;tr|D6R938|D6R938_HUMAN;sp|Q13557|KCC2D_HUMAN;tr|H0Y9C2|H0Y9C2_HUMAN;tr|H0Y9J2|H0Y9J2_HUMAN;tr|E7EQE4|E7EQE4_HUMAN;tr|D6RHX9|D6RHX9_HUMAN	tr|E9PBG7|E9PBG7_HUMAN;tr|E9PF82|E9PF82_HUMAN;tr|D6R938|D6R938_HUMAN;sp|Q13557|KCC2D_HUMAN	12;12;11;11;5;4;3;1	5;5;5;5;2;3;0;0	5;5;5;5;2;3;0;0	tr|E9PBG7|E9PBG7_HUMAN Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens OX=9606 GN=CAMK2D PE=1 SV=1;tr|E9PF82|E9PF82_HUMAN Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens OX=9606 GN=CAMK2D 	8	12	5	5	31.2	14.3	14.3	57.762	512	512;533;498;499;194;182;173;24	0	42.569	304650000	5				1553	636;1042;1700;1931;2010;2014;2758;4100;5352;6250;6638;7428	True;False;False;True;False;False;True;False;False;False;True;True	638;1046;1709;1941;2020;2024;2770;4121;5393;6295;6689;7484	728;1207;1961;2221;2308;2313;3195;4817;4818;6323;7388;7840;8801	873;1451;1452;2349;2656;2763;2768;2769;3820;5773;5774;5775;7602;8888;9430;10627	873;1452;2349;2656;2763;2769;3820;5774;7602;8888;9430;10627			-1;-1;-1;-1;-1;-1;-1;-1
tr|E9PDF2|E9PDF2_HUMAN;tr|A0A0D9SFS3|A0A0D9SFS3_HUMAN;sp|Q02218|ODO1_HUMAN;tr|E9PCR7|E9PCR7_HUMAN;tr|E9PFG7|E9PFG7_HUMAN;tr|C9J4G7|C9J4G7_HUMAN	tr|E9PDF2|E9PDF2_HUMAN;tr|A0A0D9SFS3|A0A0D9SFS3_HUMAN;sp|Q02218|ODO1_HUMAN;tr|E9PCR7|E9PCR7_HUMAN;tr|E9PFG7|E9PFG7_HUMAN	26;25;25;25;20;2	26;25;25;25;20;2	20;19;19;19;15;1	tr|E9PDF2|E9PDF2_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=1;tr|A0A0D9SFS3|A0A0D9SFS3_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=1;sp|Q02218|ODO1_HUMAN 2-oxoglut	6	26	26	20	28.6	28.6	24.1	117.24	1034	1034;1001;1023;1038;873;211	0	238.81	851410000	26				1554	374;1109;1110;1758;1778;2352;2545;2823;3767;3778;4225;4226;4498;4984;5016;5412;5488;5623;6195;6241;6295;6537;7423;7564;7641;7719	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	374;1115;1116;1767;1787;2364;2557;2835;3787;3798;4246;4247;4520;5020;5052;5454;5530;5665;6240;6286;6340;6585;7479;7621;7698;7776	423;1285;1286;2022;2043;2703;2935;3266;4399;4411;4956;4957;5270;5860;5899;6398;6484;6640;7326;7378;7438;7726;8796;8956;9049;9135	507;1551;1552;2419;2444;3235;3511;3905;5272;5285;5935;5936;6322;7042;7043;7091;7092;7692;7792;7986;8818;8876;8945;9290;10620;10817;10933;10934;11042	507;1551;1552;2419;2444;3235;3511;3905;5272;5285;5935;5936;6322;7042;7092;7692;7792;7986;8818;8876;8945;9290;10620;10817;10934;11042			-1;-1;-1;-1;-1;-1
