Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs	Sequence coverage Sample1-rep-1 [%]	Sequence coverage Sample1-rep-3 [%]	Sequence coverage Sample1-rep-4 [%]	Sequence coverage Sample2-rep-1 [%]	Sequence coverage Sample2-rep-3 [%]	Sequence coverage Sample2-rep-4 [%]	Sequence coverage Sample3-rep-2 [%]	Sequence coverage Sample3-rep-3 [%]	Sequence coverage Sample3-rep-4 [%]
tr|A0A087WWU8|A0A087WWU8_HUMAN;tr|Q5HYB6|Q5HYB6_HUMAN;tr|D6R904|D6R904_HUMAN;tr|A0A494C0G0|A0A494C0G0_HUMAN;tr|J3KN67|J3KN67_HUMAN;tr|Q5VU61|Q5VU61_HUMAN	tr|A0A087WWU8|A0A087WWU8_HUMAN;tr|Q5HYB6|Q5HYB6_HUMAN;tr|D6R904|D6R904_HUMAN;tr|A0A494C0G0|A0A494C0G0_HUMAN;tr|J3KN67|J3KN67_HUMAN	9;8;7;5;5;2	6;6;4;2;2;2	6;6;4;2;2;2	tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|Q5HYB6|Q5HYB6_HUMAN Epididymis luminal protein 189 OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapi	6	9	6	6	36.6	23.3	23.3	26.42	227	227;232;95;87;285;49	0	72.56	86510000	7				1541	495;1215;2381;2393;2394;2732;2797;3508;4976	True;True;False;True;True;False;False;True;True	503;1233;2422;2435;2436;2782;2848;3581;5091	600;1463;2869;2883;2884;3321;3402;4260;6136	721;1779;3544;3545;3564;3565;3566;4098;4194;5253;7560	721;1779;3544;3564;3566;4098;4194;5253;7560			-1;-1;-1;-1;-1;-1	775.6083333	821.3833333	591.9083333	816.875	897.7083333	959.3583333	793.0166667	515.875	1239.6
tr|A0A087X1Z0|A0A087X1Z0_HUMAN;tr|A0A087WXD8|A0A087WXD8_HUMAN;tr|B4DKF8|B4DKF8_HUMAN;tr|E5RJ29|E5RJ29_HUMAN;sp|Q9NYI0|PSD3_HUMAN	tr|A0A087X1Z0|A0A087X1Z0_HUMAN;tr|A0A087WXD8|A0A087WXD8_HUMAN;tr|B4DKF8|B4DKF8_HUMAN;tr|E5RJ29|E5RJ29_HUMAN;sp|Q9NYI0|PSD3_HUMAN	4;4;4;2;2	4;4;4;2;2	4;4;4;2;2	tr|A0A087X1Z0|A0A087X1Z0_HUMAN PH and SEC7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=PSD3 PE=1 SV=1;tr|A0A087WXD8|A0A087WXD8_HUMAN PH and SEC7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=PSD3 PE=1 SV=1;tr|B4DKF8|B4DKF8_HUMAN PH and 	5	4	4	4	19.7	19.7	19.7	30.473	269	269;269;376;982;1048	0	29.302	126990000	5				1542	2172;2421;3486;4049	True;True;True;True	2204;2464;3554;4152	2575;2576;2912;4226;5018	3169;3170;3601;5214;6209	3169;3601;5214;6209			-1;-1;-1;-1;-1	779.677381	825.6916667	594.9809524	821.1392857	902.4238095	964.3916667	797.1583333	518.5142857	1246.15
tr|A0A087WXX8|A0A087WXX8_HUMAN;tr|A0A087WWT1|A0A087WWT1_HUMAN;sp|P21912|SDHB_HUMAN	tr|A0A087WXX8|A0A087WXX8_HUMAN;tr|A0A087WWT1|A0A087WWT1_HUMAN;sp|P21912|SDHB_HUMAN	2;1;1	2;1;1	2;1;1	"tr|A0A087WXX8|A0A087WXX8_HUMAN Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=SDHB PE=1 SV=1;tr|A0A087WWT1|A0A087WWT1_HUMAN Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondri"	3	2	2	2	19.5	19.5	19.5	14.143	123	123;200;280	0	14.658	18645000	3				1543	843;3587	True;True	856;3665	1011;4353	1233;1234;5367	1233;5367			-1;-1;-1	783.7464286	830	598.0535714	825.4035714	907.1392857	969.425	801.3	521.1535714	1252.7
tr|A0A087X201|A0A087X201_HUMAN;tr|M4PNC0|M4PNC0_HUMAN;tr|B7Z3T3|B7Z3T3_HUMAN;tr|M4PNB5|M4PNB5_HUMAN;tr|M4PM71|M4PM71_HUMAN;tr|A0A0D9SGF9|A0A0D9SGF9_HUMAN	tr|A0A087X201|A0A087X201_HUMAN;tr|M4PNC0|M4PNC0_HUMAN;tr|B7Z3T3|B7Z3T3_HUMAN;tr|M4PNB5|M4PNB5_HUMAN;tr|M4PM71|M4PM71_HUMAN;tr|A0A0D9SGF9|A0A0D9SGF9_HUMAN	5;4;4;4;4;3	2;2;2;2;2;2	2;2;2;2;2;2	"tr|A0A087X201|A0A087X201_HUMAN Solute carrier family 12 member 5 OS=Homo sapiens OX=9606 GN=SLC12A5 PE=1 SV=1;tr|M4PNC0|M4PNC0_HUMAN KCC2 transcript variant 8 OS=Homo sapiens OX=9606 GN=SLC12A5 PE=1 SV=1;tr|B7Z3T3|B7Z3T3_HUMAN cDNA FLJ59167, highly similar"	6	5	2	2	17.2	7.8	7.8	49.394	459	459;180;186;262;289;58	0	13.547	15248000	2				1544	1205;1271;3518;3519;3805	False;False;True;True;False	1223;1289;3592;3593;3897;3898	1451;1533;4272;4273;4685;4686;4687	1763;1764;1866;5266;5267;5790;5791;5792;5793	1763;1866;5266;5267;5791	219	45	-1;-1;-1;-1;-1;-1	787.8154762	834.3083333	601.1261905	829.6678571	911.8547619	974.4583333	805.4416667	523.7928571	1259.25
tr|A0A096LNH5|A0A096LNH5_HUMAN;tr|A0A096LP73|A0A096LP73_HUMAN;tr|H7C1F6|H7C1F6_HUMAN;tr|A0A2R8YDR7|A0A2R8YDR7_HUMAN;tr|H7C2G3|H7C2G3_HUMAN;tr|F2Z2Q0|F2Z2Q0_HUMAN;tr|A0A096LP12|A0A096LP12_HUMAN;sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN;tr|A0A096LPI6|A0A096LPI6_HUMAN	tr|A0A096LNH5|A0A096LNH5_HUMAN;tr|A0A096LP73|A0A096LP73_HUMAN;tr|H7C1F6|H7C1F6_HUMAN;tr|A0A2R8YDR7|A0A2R8YDR7_HUMAN;tr|H7C2G3|H7C2G3_HUMAN;tr|F2Z2Q0|F2Z2Q0_HUMAN;tr|A0A096LP12|A0A096LP12_HUMAN;sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN;tr|A0A096LPI6|A0A096LPI6_HUMAN	3;2;2;2;2;2;2;2;2;2	3;2;2;2;2;2;2;2;2;2	3;2;2;2;2;2;2;2;2;2	"tr|A0A096LNH5|A0A096LNH5_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=1 SV=1;tr|A0A096LP73|A0A096LP73_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein "	10	3	3	3	15.9	15.9	15.9	19.416	182	182;137;184;190;191;217;224;268;268;279	0	16.532	31768000	3				1545	2016;3798;3799	True;True;True	2048;3890;3891	2403;4675;4676;4677	2966;5780;5781;5782	2966;5781;5782			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	791.8845238	838.6166667	604.1988095	833.9321429	916.5702381	979.4916667	809.5833333	526.4321429	1265.8
tr|G8JL96|G8JL96_HUMAN;tr|A0A0A0MR60|A0A0A0MR60_HUMAN;sp|Q13332|PTPRS_HUMAN;tr|K7ERX4|K7ERX4_HUMAN;tr|K7ESP0|K7ESP0_HUMAN;tr|Q8NHS7|Q8NHS7_HUMAN	tr|G8JL96|G8JL96_HUMAN;tr|A0A0A0MR60|A0A0A0MR60_HUMAN;sp|Q13332|PTPRS_HUMAN	11;11;10;1;1;1	8;8;7;1;1;1	8;8;7;1;1;1	tr|G8JL96|G8JL96_HUMAN Receptor-type tyrosine-protein phosphatase S OS=Homo sapiens OX=9606 GN=PTPRS PE=1 SV=2;tr|A0A0A0MR60|A0A0A0MR60_HUMAN Receptor-type tyrosine-protein phosphatase S OS=Homo sapiens OX=9606 GN=PTPRS PE=1 SV=1;sp|Q13332|PTPRS_HUMAN Rece	6	11	8	8	13.1	10.9	10.9	168.43	1501	1501;1505;1948;79;90;128	0	77.821	57437000	10				1546	887;2396;4420;4425;4643;5158;5354;5537;5882;5902;6016	True;True;True;False;True;True;False;True;True;False;True	901;2438;4529;4534;4754;5275;5475;5662;6009;6029;6144	1077;1078;2886;5467;5472;5731;6352;6627;6844;7244;7279;7414	1315;1316;3568;6748;6749;6755;7066;7831;8184;8462;8951;9001;9155	1316;3568;6749;6755;7066;7831;8184;8462;8951;9001;9155			-1;-1;-1;-1;-1;-1	795.9535714	842.925	607.2714286	838.1964286	921.2857143	984.525	813.725	529.0714286	1272.35
tr|A0A0D9SF54|A0A0D9SF54_HUMAN	tr|A0A0D9SF54|A0A0D9SF54_HUMAN	87	87	0	"tr|A0A0D9SF54|A0A0D9SF54_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=1"	1	87	87	0	45.1	45.1	0	282.83	2457	2457	0	323.31	2753900000	120				1547	149;150;247;289;389;500;694;716;718;740;808;826;841;846;847;902;938;956;960;993;1008;1043;1120;1137;1160;1204;1286;1444;1715;1716;1763;1777;1827;1829;1898;1992;1993;2100;2442;2539;2563;2581;2583;2624;2663;2718;2760;2763;2789;2790;2805;2833;2854;2916;2927;2968;2969;3059;3154;3160;3410;3500;3543;3572;3620;3621;3818;3842;3891;3895;3995;4003;4274;4511;4546;4559;4563;4654;4685;4704;4879;5017;5284;5578;5579;5921;6027	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	150;151;250;293;394;508;706;728;730;752;821;839;854;860;861;916;952;970;974;1008;1023;1059;1137;1154;1177;1222;1304;1464;1741;1742;1790;1805;1855;1857;1927;2023;2024;2132;2485;2586;2610;2628;2630;2672;2712;2768;2811;2814;2840;2841;2856;2884;2905;2968;2979;2980;3021;3022;3114;3210;3216;3470;3573;3618;3648;3703;3704;3912;3936;3991;3995;4097;4106;4381;4621;4656;4670;4674;4765;4796;4815;4992;5132;5404;5703;5704;6048;6155	188;189;304;361;362;473;607;845;869;871;895;975;994;1009;1027;1028;1098;1137;1168;1172;1212;1213;1230;1273;1355;1374;1401;1450;1548;1725;2056;2057;2110;2111;2131;2183;2185;2270;2376;2377;2497;2940;3080;3111;3141;3142;3144;3196;3243;3244;3307;3363;3366;3393;3394;3395;3412;3444;3467;3541;3553;3554;3555;3605;3606;3706;3819;3825;4132;4249;4250;4302;4334;4405;4406;4707;4731;4798;4802;4945;4946;4955;4956;5302;5572;5609;5628;5632;5743;5783;5804;5805;6009;6181;6531;6890;6891;7302;7303;7427	228;229;230;367;437;438;566;728;1025;1053;1056;1087;1189;1211;1229;1230;1231;1258;1259;1345;1393;1433;1438;1482;1483;1502;1555;1652;1653;1654;1674;1675;1708;1761;1762;1887;2099;2529;2530;2598;2599;2600;2627;2684;2685;2686;2688;2799;2800;2934;2935;3075;3634;3802;3838;3880;3881;3883;3946;4000;4001;4078;4152;4155;4184;4185;4186;4206;4247;4279;4280;4373;4387;4388;4389;4390;4450;4451;4577;4716;4717;4718;4726;5105;5241;5242;5302;5338;5435;5436;5437;5438;5816;5847;5848;5849;5930;5934;5935;5936;6122;6123;6133;6134;6555;6874;6875;6876;6918;6919;6942;6946;7080;7136;7165;7166;7167;7408;7620;8061;8062;8518;8519;9029;9030;9172	229;230;367;437;566;728;1025;1053;1056;1087;1189;1211;1230;1258;1259;1345;1393;1433;1438;1483;1502;1555;1653;1674;1708;1761;1887;2099;2529;2530;2599;2627;2684;2688;2799;2934;2935;3075;3634;3802;3838;3880;3883;3946;4000;4078;4152;4155;4185;4186;4206;4247;4280;4373;4390;4450;4451;4577;4718;4726;5105;5242;5302;5338;5436;5437;5816;5849;5930;5935;6122;6133;6555;6874;6918;6942;6946;7080;7136;7166;7408;7620;8061;8518;8519;9029;9172	147;148;149	1;1710;2289	-1	800.022619	847.2333333	610.3440476	842.4607143	926.0011905	989.5583333	817.8666667	531.7107143	1278.9
tr|A0A0D9SF98|A0A0D9SF98_HUMAN	tr|A0A0D9SF98|A0A0D9SF98_HUMAN	9	1	0	tr|A0A0D9SF98|A0A0D9SF98_HUMAN Neural cell adhesion molecule 1 (Fragment) OS=Homo sapiens OX=9606 GN=NCAM1 PE=1 SV=1	1	9	1	0	24.6	6.7	0	38.612	357	357	0.0028289	5.9842	91359000	1				1548	38;2664;2810;2811;3101;5157;5262;5263;5650	False;False;False;False;False;True;False;False;False	38;2713;2861;2862;3156;5274;5382;5383;5776	42;43;3245;3417;3418;3419;3753;6351;6504;6505;6506;6974	47;48;49;4002;4212;4213;4214;4215;4636;7830;8026;8027;8028;8619	47;4002;4212;4215;4636;7830;8026;8028;8619			-1	804.0916667	851.5416667	613.4166667	846.725	930.7166667	994.5916667	822.0083333	534.35	1285.45
tr|A0A0D9SFB1|A0A0D9SFB1_HUMAN;tr|A0A0U1RQP1|A0A0U1RQP1_HUMAN;tr|A0A0D9SFE4|A0A0D9SFE4_HUMAN;sp|Q05193|DYN1_HUMAN;tr|A0A1B0GU67|A0A1B0GU67_HUMAN;tr|A0A1B0GUX5|A0A1B0GUX5_HUMAN;tr|H7C5U0|H7C5U0_HUMAN;tr|K7EPK9|K7EPK9_HUMAN	tr|A0A0D9SFB1|A0A0D9SFB1_HUMAN;tr|A0A0U1RQP1|A0A0U1RQP1_HUMAN;tr|A0A0D9SFE4|A0A0D9SFE4_HUMAN;sp|Q05193|DYN1_HUMAN;tr|A0A1B0GU67|A0A1B0GU67_HUMAN;tr|A0A1B0GUX5|A0A1B0GUX5_HUMAN	34;32;32;32;20;18;3;1	34;32;32;32;20;18;3;1	25;23;23;23;13;12;3;0	tr|A0A0D9SFB1|A0A0D9SFB1_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1;tr|A0A0U1RQP1|A0A0U1RQP1_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1;tr|A0A0D9SFE4|A0A0D9SFE4_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1;sp|Q051	8	34	34	25	45.9	45.9	35.9	94.016	835	835;856;864;864;356;320;131;50	0	323.31	1891400000	44				1549	366;367;797;798;855;942;1197;1317;1491;1696;1769;1791;1795;1924;2113;2770;3116;3431;3472;3803;4071;4258;4278;4631;4632;4730;4731;4949;4950;4983;5602;5680;5863;5990	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	370;371;810;811;869;956;1215;1337;1512;1722;1796;1819;1823;1953;2145;2821;3171;3497;3540;3895;4174;4365;4385;4742;4743;4841;4842;5062;5063;5098;5727;5807;5990;6118	446;447;963;964;1041;1142;1442;1588;1796;2035;2118;2145;2149;2300;2510;2511;3374;3771;4161;4209;4682;5042;5043;5283;5306;5717;5718;5834;5835;6095;6096;6097;6144;6919;7019;7223;7224;7378	535;536;1177;1178;1275;1399;1751;1752;1933;2201;2502;2503;2608;2609;2641;2642;2646;2647;2838;3088;3089;4164;4654;5138;5139;5193;5787;6237;6238;6533;6560;7052;7053;7201;7202;7508;7509;7510;7511;7512;7573;8554;8683;8684;8927;8928;9114	535;536;1177;1178;1275;1399;1751;1933;2201;2503;2609;2642;2646;2838;3088;4164;4654;5139;5193;5787;6237;6533;6560;7052;7053;7201;7202;7508;7510;7573;8554;8683;8928;9114	236	6	-1;-1;-1;-1;-1;-1;-1;-1	808.1607143	855.85	616.4892857	850.9892857	935.4321429	999.625	826.15	536.9892857	1292
tr|A0A0D9SGD7|A0A0D9SGD7_HUMAN	tr|A0A0D9SGD7|A0A0D9SGD7_HUMAN	1	1	1	tr|A0A0D9SGD7|A0A0D9SGD7_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1	1	1	1	1	40.8	40.8	40.8	5.7548	49	49	1	-2	0	1	+			1550	1442	TRUE	1462	1722	2095	2095	237;238;239	38;39;44	-1	812.2297619	860.1583333	619.5619048	855.2535714	940.147619	1004.658333	830.2916667	539.6285714	1298.55
tr|A0A0J9YVW3|A0A0J9YVW3_HUMAN;tr|A0A0J9YYF0|A0A0J9YYF0_HUMAN;tr|A0A0J9YYF3|A0A0J9YYF3_HUMAN;tr|A0A0J9YXU7|A0A0J9YXU7_HUMAN	tr|A0A0J9YVW3|A0A0J9YVW3_HUMAN;tr|A0A0J9YYF0|A0A0J9YYF0_HUMAN;tr|A0A0J9YYF3|A0A0J9YYF3_HUMAN;tr|A0A0J9YXU7|A0A0J9YXU7_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	tr|A0A0J9YVW3|A0A0J9YVW3_HUMAN Serum paraoxonase/arylesterase 2 (Fragment) OS=Homo sapiens OX=9606 GN=PON2 PE=1 SV=1;tr|A0A0J9YYF0|A0A0J9YYF0_HUMAN Serum paraoxonase/arylesterase 2 (Fragment) OS=Homo sapiens OX=9606 GN=PON2 PE=1 SV=1;tr|A0A0J9YYF3|A0A0J9YY	4	1	1	1	25	25	25	3.7032	32	32;53;69;113	0.0028902	6.1027	34591000	1				1551	3536	TRUE	3611	4295	5295	5295	240	2	-1;-1;-1;-1	816.2988095	864.4666667	622.6345238	859.5178571	944.8630952	1009.691667	834.4333333	542.2678571	1305.1
tr|A0A0U1RQU3|A0A0U1RQU3_HUMAN	tr|A0A0U1RQU3|A0A0U1RQU3_HUMAN	3	1	1	tr|A0A0U1RQU3|A0A0U1RQU3_HUMAN Plasma membrane calcium-transporting ATPase 1 (Fragment) OS=Homo sapiens OX=9606 GN=ATP2B1 PE=1 SV=1	1	3	1	1	21.3	7.3	7.3	33.644	300	300	0	20.93	37454000	4				1552	2102;2391;4339	False;True;False	2134;2432;2433;4447	2499;2879;2880;2881;5372	3077;3557;3558;3559;3560;3561;6635;6636	3077;3560;6636	241	169	-1	820.3678571	868.775	625.7071429	863.7821429	949.5785714	1014.725	838.575	544.9071429	1311.65
tr|A0A1B0GUT6|A0A1B0GUT6_HUMAN	tr|A0A1B0GUT6|A0A1B0GUT6_HUMAN	1	1	1	tr|A0A1B0GUT6|A0A1B0GUT6_HUMAN PH and SEC7 domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=PSD PE=1 SV=1	1	1	1	1	9.1	9.1	9.1	15.859	143	143	0.0029133	6.1408	5363700	3				1553	3485	TRUE	3553	4225	5211;5212;5213	5211			-1	824.4369048	873.0833333	628.7797619	868.0464286	954.2940476	1019.758333	842.7166667	547.5464286	1318.2
tr|A0A1C7CYX9|A0A1C7CYX9_HUMAN;sp|Q16555|DPYL2_HUMAN;tr|E5RFU4|E5RFU4_HUMAN;tr|D6RF19|D6RF19_HUMAN	tr|A0A1C7CYX9|A0A1C7CYX9_HUMAN;sp|Q16555|DPYL2_HUMAN	21;19;4;1	21;19;4;1	17;15;2;0	tr|A0A1C7CYX9|A0A1C7CYX9_HUMAN Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1;sp|Q16555|DPYL2_HUMAN Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1	4	21	21	17	45.9	45.9	37.5	73.502	677	677;572;170;92	0	263.05	1996900000	45				1554	30;50;621;790;863;1469;1766;1844;1853;1881;2255;2473;2494;2495;2620;3399;3631;3766;3767;4041;5411	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	30;50;632;803;877;1489;1490;1793;1872;1882;1910;2287;2516;2537;2538;2668;3459;3716;3717;3857;3858;4144;5534	33;58;751;954;955;956;1049;1755;1756;1757;1758;2114;2115;2200;2215;2245;2669;2670;2973;2999;3000;3001;3002;3003;3192;4120;4419;4420;4638;4639;5009;6699	38;65;66;67;898;899;1165;1166;1167;1284;2142;2143;2144;2145;2146;2147;2148;2149;2150;2604;2605;2705;2724;2725;2766;3287;3288;3289;3290;3291;3292;3671;3672;3705;3706;3707;3708;3709;3942;5088;5089;5458;5459;5735;5736;5737;6198;8281	38;66;899;1165;1284;2150;2605;2705;2724;2766;3287;3672;3707;3709;3942;5089;5458;5735;5736;6198;8281	242;243;244	169;183;188	-1;-1;-1;-1	828.5059524	877.3916667	631.852381	872.3107143	959.0095238	1024.791667	846.8583333	550.1857143	1324.75
